epoch,train_reward
0,0.0026389682040500796
1,0.004054518110167824
2,0.0030069937439341295
3,0.0039028137138015346
4,0.0034042476725421452
5,0.004767590545509991
6,0.004172504119771092
7,0.0033728392721202815
8,0.0037141446587874703
9,0.0034545810991211943
10,0.0034212272883834024
11,0.002954581433809117
12,0.0027983955009595342
13,0.003302271330827161
14,0.0029118483469478392
15,0.0033946042316720672
16,0.003288285132791651
17,0.003722840331886944
18,0.0030951849184930325
19,0.0032771213813439794
